resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,average_watts,kilojoules,device_watts
2,"{'id': 36334506, 'resource_state': 1}",VMA 30/30 - ×10,5619.0,1982,2111,9.6,Run,Run,0.0,2244219245,2019-03-27T11:17:58Z,2019-03-27T12:17:58Z,(GMT+01:00) Europe/Paris,3600.0,,,France,2,1,0,1,0,"{'id': 'a2244219245', 'summary_polyline': 'wc{sHw}|QlI}GwIeRyLcIe@_CuGKaFgGtIoQ~CuPyBsLuFbOtEsNsKrZpGpHqE`KrFzFlFH|MtK`LvVcIbD', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.606841, 3.102528]","[50.606509, 3.102719]",2.835,5.9,79.8,True,144.5,165.0,False,True,41.5,37.2,2389724189,2389724189,garmin_push_3500083127,False,0,0,False,31.0,,,
2,"{'id': 36334506, 'resource_state': 1}",RP,9998.6,2973,3044,34.6,Run,Run,0.0,2256918590,2019-04-01T10:18:47Z,2019-04-01T12:18:47Z,(GMT+01:00) Europe/Paris,7200.0,,,France,4,2,0,1,0,"{'id': 'a2256918590', 'summary_polyline': 'ozzsHce}QdAW|FzH`HfO~LwDxFsHvA@|D~GvApLfVmPbR{CxJpIv@yE`NiVgKoWbFah@YeY\\vYuFbg@uCgIiNrGiI_SpFrJ~ChNjKpRmMzBuGjIqC`IkXpPeAbD}PwOcK`DcOmVaCfDb@~AiCbGoGdEkEmCIuDnMwJ|CfFyC~GoFpDwEqCAaEfEyC', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.605368, 3.103703]","[50.607276, 3.102153]",3.363,4.2,83.0,True,142.1,185.0,False,True,56.2,38.1,2402973422,2402973422,garmin_push_3515517334,False,1,0,False,39.0,,,
2,"{'id': 36334506, 'resource_state': 1}",VMA : 30 / 30 / 45 / 1.15 / 2 / 2 / 1.15 / 45 / 30 / 30,9792.9,3305,3311,17.0,Run,Run,0.0,2261813493,2019-04-03T10:13:23Z,2019-04-03T12:13:23Z,(GMT+01:00) Europe/Paris,7200.0,,,France,3,5,0,5,0,"{'id': 'a2261813493', 'summary_polyline': 'wa{sHk`}QrGgE{IkRkMqI]iB}FWiFcGhIsPdDgQkC}LkLj[bHrHnG}VeC_MuLj[bH|HjBoDjDaRGaE_C{FeBfEdAwC`Ad@hB~Jm@fBd@mHgCiGsF`PpFaOdCbFLlDuArEjAwJcCyFqHnQlGqPdDlGoC`ThCyUyBoFgDxH~CuHzBbFRtD{BpHtBqMyAsE~AdK_DhPuIbQxFhGtF^tNrLtIjRaG~E', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.60652, 3.102948]","[50.606409, 3.102805]",2.963,5.2,80.3,True,151.8,184.0,False,True,41.5,37.2,2408028770,2408028770,garmin_push_3521562513,False,3,0,False,73.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Evening Run,13520.4,4591,4599,66.3,Run,Run,,2273057303,2019-04-07T17:11:41Z,2019-04-07T19:11:41Z,(GMT+01:00) Europe/Paris,7200.0,,,France,15,4,0,1,0,"{'id': 'a2273057303', 'summary_polyline': 'oq_tHm`sQmUbY_XmV_E`C~D`n@cCtJuGjAoCvEuCUaGdFgByIwDmD{@aH{DyE[mDhGsLvEaAxAoFxHrFdHBw@jOl@zDbANjCdRuHdKi@jHuUyD_AeABkHiBeAYmFcCwCpFxL\\jFvCKjBjD`D}@`CjBrA{BfFm@tDsEj@}E{EMcClEmC]uGjF{I}WmEaHa@wGaGsKzSy[lUKzC~Ef@dQcIfBdEdCc@nO`AfMeLtC}DpEoBuK_G{J`F{KfBqLvHjFdHPOfRxF~PnBqGZeKoE}d@`EiClU~U~FiDpOmR', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.629521, 3.051754]","[50.629593, 3.051665]",2.945,4.2,81.5,True,152.6,170.0,False,True,28.6,15.7,2419718564,2419718564,garmin_push_3535316336,False,9,0,False,113.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Lunch Run,10025.4,3405,3405,34.3,Run,Run,,2274305642,2019-04-08T10:28:51Z,2019-04-08T12:28:51Z,(GMT+01:00) Europe/Paris,7200.0,,,France,1,4,0,1,0,"{'id': 'a2274305642', 'summary_polyline': 'eb{sHw~|QjH}EnPrYvLqDjIkI~DtG~AbMbViP~Q}CnJzIzGgRdGqIaKwWzEse@Ko\\JnYaFrg@bLjVoNlWsCfPAbL`Fps@k@`F_p@lZcDwRSsKx@sEo@sM~BuOe@kDyFcIDqFaJoFiFsHsKnDaNeWkGf@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.606595, 3.102683]","[50.606054, 3.103176]",2.944,3.6,81.4,True,150.9,171.0,False,True,60.1,39.5,2421048373,2421048373,garmin_push_3536911504,False,0,0,False,84.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Lunch Run,10012.0,3070,3073,34.2,Run,Run,,2281530458,2019-04-11T10:04:41Z,2019-04-11T12:04:41Z,(GMT+01:00) Europe/Paris,7200.0,,,France,2,3,0,1,0,"{'id': 'a2281530458', 'summary_polyline': 'ub{sHm~|QzH}FlQ~YlLcEjI{HfDvFpB|M~UkPvQ_DdKzI`AeGxMuToKgWfFaj@WaXPbZ}Evf@tK|WoN|VeDzUfFh`A_q@`\\}CmRWgKp@mFc@yOhBkNmHeQTmCoIiFaFuHsLdDgMkVgD`BiA{A', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.606673, 3.102632]","[50.605881, 3.103268]",3.261,4.1,83.6,True,149.0,162.0,False,True,60.2,39.5,2428539089,2428539089,garmin_push_3545757751,False,0,0,False,54.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Afternoon Run,15648.3,5167,5172,70.3,Run,Run,,2290084029,2019-04-14T15:51:23Z,2019-04-14T17:51:23Z,(GMT+01:00) Europe/Paris,7200.0,,,France,27,5,0,1,0,"{'id': 'a2290084029', 'summary_polyline': '}m_tHwbsQeX~ZmXgT_EdAhElc@AhJ}CdN_IvMm@rEcL?kJkENsHgCcCMoEeIiDaLyYLuBlGkAvU}[~VBxClFjBhLpCb`@kDxQ{HvM{@tEwNo@}KqIwUoo@dGiCrWq[tQcA`DfBpFpR~B`a@sDzPyGvKqAzFsPgAiI_HgVao@JgB~FaAlWo\\fUZtCtE`@tOoHlBpDdDe@fMlAvMcKpDuEzEcCgLoF_KfEsJbByLnJhFpJcDV}MbFqEjTpTjDy@nRyR', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.628956, 3.052129]","[50.629702, 3.051536]",3.029,4.7,81.9,True,160.2,182.0,False,True,28.6,15.5,2437443444,2437443444,garmin_push_3556006555,False,9,0,False,144.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Recup,7526.5,2696,2703,21.7,Run,Run,0.0,2291368139,2019-04-15T10:08:25Z,2019-04-15T12:08:25Z,(GMT+01:00) Europe/Paris,7200.0,,,France,2,3,0,1,0,"{'id': 'a2291368139', 'summary_polyline': 'e`{sHw`}Q~EsDkK{TkM{JuImAoC}D|IiQzCyUiC{GqKrXyIpAxFeV}GcMjIcNg@mDeDgDtCyMg@uL~HyCp@{Bi@uGqBsCgFjAsAbE~BrJLhNwAvL`GvDvTjq@YrQiD`UtL~HhLzWcBjD`@fB{ErIqDdCgE{C_@_DbEoD', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.606279, 3.103006]","[50.607393, 3.102083]",2.792,5.7,79.8,True,143.1,168.0,False,True,47.0,37.2,2438801921,2438801921,garmin_push_3557616855,False,0,0,False,33.0,,,
2,"{'id': 36334506, 'resource_state': 1}",20' échauffement + test vma + retour,7624.5,2576,2723,32.0,Run,Run,0.0,2297192461,2019-04-17T16:27:15Z,2019-04-17T18:27:15Z,(GMT+01:00) Europe/Paris,7200.0,,,France,15,2,0,1,0,"{'id': 'a2297192461', 'summary_polyline': 'ks_tH}}rQkT`VaV{UcFpBxEje@_@pJgCfI{B}M}BoDt@yMk@uAuHc@uG{E}AhLuF`KnGtKfCvKr@YhCaEhJ}DaAyMf@mNoGUuHwEuItY~EpG`D|M`JmIvEc@TgI`C~MjA^xBkQaFqd@l@kCdE_BtSzTdGcCpNoQ', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.629827, 3.051352]","[50.629885, 3.051577]",2.96,5.0,80.8,True,151.9,172.0,False,True,28.6,21.4,2444841436,2444841436,garmin_push_3564735838,False,7,0,False,54.0,,,
2,"{'id': 36334506, 'resource_state': 1}",Evening Run,11596.5,3796,4548,59.2,Run,Run,,2302582483,2019-04-19T16:21:58Z,2019-04-19T18:21:58Z,(GMT+01:00) Europe/Paris,7200.0,,,France,17,4,0,1,0,"{'id': 'a2302582483', 'summary_polyline': 'ws_tHavrQoFA{KdMpQcUxEeB_ItFoNpQeWaVuEvBxExi@sDvRyGrL}@dHiNa@}KcI{Vyo@pIuFtTyXjRqAnCvAzBxERnPqKnD{HgFwBhLaF~JlG|KvB|JnDmE`K}B_@uHbA]lCrQiKbUwM]mKoH{Uym@J}C~FuAvW}ZvQ_ApGjHjGsBlQ`RlGa@tPkQ', 'resource_state': 2}",False,False,False,False,everyone,False,,"[50.629888, 3.050099]","[50.629783, 3.051559]",3.055,9.1,81.4,True,157.6,184.0,False,True,28.6,15.5,2450453109,2450453109,garmin_push_3571098228,False,7,0,False,93.0,,,
